		MENU 			FOOD COST ( AS PER HYPER PURE INVENTORY )					INGREDIENT AS PER RECEIPE AND WEIGHT							
Activated Charcoal Smoothie					11.43	5.67	1.5	3	0.63	0.63							
Aglio Olio (o) (Veg)					40.03	26	5	1.2	0.5	1	0.12	0.76	4	1.45			
Aglio Olio (o) (Chicken)					56.03	26	21	1.2	0.5	1	0.12	0.76	4	1.45			
Aglio Olio (o) (Prawns)					63.03	26	28	1.2	0.5	1	0.12	0.76	4	1.45			
Alfredo Pasta (o) (Veg)		veg penne)			44.04	15.7	5	1.45	1	16	0.37	1.57	1.57	0.5	0.12	0.76	
Alfredo Pasta (o) (Veg)		speghetti 			54.34	26	5	1.45	1	16	0.37	1.57	1.57	0.5	0.12	0.76	
Alfredo Pasta (o) (Chicken)		penne chicken 			60.04	15.7	21	1.45	1	16	0.37	1.57	1.57	0.5	0.12	0.76	
Alfredo Pasta (o) (Chicken)		spegh chicken			70.34	26	21	1.45	1	16	0.37	1.57	1.57	0.5	0.12	0.76	
Alfredo Pasta (o) (Prawns)		penne prawns			67.04	15.7	28	1.45	1	16	0.37	1.57	1.57	0.5	0.12	0.76	
Alfredo Pasta (o) (Prawns)		speghetti prawns			77.34	26	28	1.45	1	16	0.37	1.57	1.57	0.5	0.12	0.76	
Almond Chicken Salad					47.87	21	2.1	2.1	6	2.5	3	0.12	0.76	2.36	7.93		
Antioxidant Detox					53	1	0.5	20	2	3	26.5						
Apple Cinnamon Smoothie					46.65	24	2	6	0.65	14							
Arrabbiata (o) (Veg)	 PENNE VEG				32.3	15.7	1.57	1.57	1.2	0.5	0.12	0.76	5	1.43	1.45	3	
Arrabbiata (o) (Veg)	 SPEGEHETTI VEG				39.46	26	1.2	0.5	0.12	0.76	5	1.43	1.45	3			
Arrabbiata (o) (Chicken)	 PENNE CHICKEN 				48.3	15.7	1.57	1.57	1.2	0.5	0.12	0.76	21	1.43	1.45	3	
Arrabbiata (o) (Chicken)	 SPEGHETT CHICHEKNI				55.46	26	1.2	0.5	0.12	0.76	21	1.43	1.45	3			
Arrabbiata (o) (PENNE PRAWNS s)					55.3	15.7	1.57	1.57	1.2	0.5	0.12	0.76	28	1.43	1.45	3	
Arrabbiata (o) (SPEHGETTI PRAWNS s)					62.46	26	1.2	0.5	0.12	0.76	28	1.43	1.45	3			
Avocado Toast (o)					75	6	3	60	3	1	2						
Avocado Toast With Poached Boiled Egg (o)					87	75	12										
Avocado Toast With Sunny Side Up (o)					87	75	12										
Barbeque Chicken Burrito Wrap					50	21	11.5	4.5	2	2	1	1	3				
Barbeque Grilled Chicken Rice Bowl					53.09	21	2.1	2.1	4.57	4.57	4.5	7	3	1	0.25	1.5	1.5
Barbeque Paneer Fiesta Rice Bowl (o)					52.09	20	2.1	2.1	4.57	4.57	4.5	7	3	1	0.25	1.5	1.5
Blue Berry Smoothie					72.5	20	5.5	41	6								
Boiled 3 Egg With Sautéed Veggies (o)					25	7	6	6	6								
Boiled Chicken Breast [single Serve]					32												
Broccoli Almonds Soup (o)					27.08	1.45	1	1.2	2	13.5	7.93						
Broccoli Babycorn Tomato Salad (o)					31.44	10.8	10	0.76	0.12	4.76	2	3					
Broccoli Lemon Chicken Salad (o)					47.88	10.8	3	6	21	2.1	2.1	2	0.12	0.76			
Cheese Omelette (o)					26.57	6	6	6	6.24	1.45	0.12	0.76					
Cheese Tomato Omelette (o)					27												
Cheesy Delight Nachos					40												
Chicken Caesar Story Salad					62.2	21	2.1	2.1	10	3	4	10	5	5			
Chicken Hummus Pita					40	6.56	21	6.54	2.13								
Chicken Pita Pockets With Hummus					36	6.56	16	6.45	2.13								
