NO.	PRODUCT	QTY	BUYING PRICE	PER KG /UNIT	PRICE PER 100 GM/PCS	
1	CHICKEN BREAST BONELESS 	2 KG	420	210	21	
2	EGG 2 UNITS	2 PKS	180	180	6 PER PCS 	
3	PRAWNS16/20 JUMBO	2 KG	560	280	28	
4	SEEDLESS DATES	500 GM	85	170	17	8.5
5	SLICED BLACK OLIVES 	3 KG	680	680	68	
6	GOODRICH CREAMY DELITE 	500 ML 	78	78	16	
7	WHOLEWHEAT WRAP 10 INCH 	12 PCS	138	138	11.50 PER PCS	
8	DAWAAT BROWN RICE	5 KG 	685	137	13.7	4.57 ( cooked )
9	CHEF CHOICE PIZZA PASTA SAUCE 	1 KG	92	92	9.2	
10	BASIL LEAVES	100 GM	14.33	NA	1.43 (10 GM)	
11	FROZEN CORN CORN	1 KG 	75	75	7.5	0.75
12	PARSELY 	100 GM	37	37	3.7	
13	BAKING POWDER 	1 kg 	88	88	.88 (10 gm)	
14	MALA CRUSH BLUEBERRY 	750 ML	298	298	20 RS (50 ML)	
15	PASTA WHOLE WHEAT PENNE	500 GM 	78	156	15.6	
16	DAIRY CRAFT CHEESE SLICE	765 GM	356	356	23.55 (50 GM)	6.24 ( SLICE)
17	DAIRY CRAFT FETA CHEESE	400 GM	288	288	10.80 (15 GM)	
18	SOYABEAN OIL 	13 KG	1885	145	14.5 (100 GM)	
19	JEECON CORN FLOUR 5 KG	5 KG 	330	66	6.6	
20	CHICKEN SAUSAGES 	500 GM	178	178	34	
21	PORK BACON	1 KG 	814	814	81.4	
22	BLACK MUSTARD SEEDS	1 KG 	132	132	1.32 (10 GM)	
23	CUMIN SEED	1 KG	266	266	2.66 (10 GM )	
24	CHIPOTLE MAYONISSE	1 KG	148	148	14.8	1.48
25	SALAD MAYONISE	1 KG	90.5	90.5	9.5	
26	TANDOORI MAYONISSE 	1 KG	150	150	15	1.5
27	GARLIC WHOLW	500 GM 	60	120	6 (50 GM)	
28	GINGER	1 KG	120	120	1.2 (10 GM)	
29	REFINED FREE LOW SALT	1 KG	12	12	.12 (10 GM)	
30	INSTANT DRY YEAST	500 GM 	179	179 PER UNIT	3.58 (10 GM)	
